station,lines,reason,latitude,longitude
Onyangoncheon,Line 1,outside Seoul's boundary,36.78053885,127.00319809999999
Ori,Suin–Bundang Line,outside Seoul's boundary,37.3400807,127.1089321
Osan,Line 1,outside Seoul's boundary,37.1448264,127.0666711
Osan College,Line 1,outside Seoul's boundary,37.16945165,127.06307985000001
Pangyo,Shinbundang Line,outside Seoul's boundary,37.3943592,127.11115465
Pungsan,Gyeongui–Jungang Line,outside Seoul's boundary,37.672239700000006,126.78631285
Pyeongchon,Line 4,outside Seoul's boundary,37.39428915,126.9638778
Pyeongtaek,Line 1,outside Seoul's boundary,36.99061495,127.08552125
Pyeongtaek Jije,Line 1,outside Seoul's boundary,37.01900175,127.0704264
Samsong,Line 3,outside Seoul's boundary,37.65312725,126.89547454999999
Sanbon,Line 4,outside Seoul's boundary,37.358028000000004,126.933021475
Sang-dong,Line 7,outside Seoul's boundary,37.505828199999996,126.7531662
Sanghyeon,Shinbundang Line,outside Seoul's boundary,37.29742885,127.06928805
Sangnoksu,Line 4,outside Seoul's boundary,37.30282205,126.8666104
Sangok,Line 7,outside Seoul's boundary,37.50858455,126.70367825
Sanseong,Line 8,outside Seoul's boundary,37.4568683,127.1499094
Sareung,Gyeongchun Line,outside Seoul's boundary,37.651099650000006,127.1768958
Sari,Suin–Bundang Line,outside Seoul's boundary,37.29086745,126.85719965
Sema,Line 1,outside Seoul's boundary,37.18718805,127.04343015
Seodongtan,Line 1,outside Seoul's boundary,37.19572315,127.05188079999999
Seohyeon,Suin–Bundang Line,outside Seoul's boundary,37.3849108,127.12333275
Seojeong-ri,Line 1,outside Seoul's boundary,37.05648574999999,127.05288045
Seoksu,Line 1,outside Seoul's boundary,37.4353932,126.902253
Seonbawi,Line 4,outside Seoul's boundary,37.451572299999995,127.00210535
Seongbok,Shinbundang Line,outside Seoul's boundary,37.31343235,127.08028205
Seonghwan,Line 1,outside Seoul's boundary,36.91622415,127.1268624
Seongnam,Line 7,outside Seoul's boundary,37.50631935,126.6742873
Seoul Grand Park,Line 4,outside Seoul's boundary,37.43572845,127.0065527
Seoul Racecourse Park,Line 4,outside Seoul's boundary,37.4438108,127.00789135
Seryu,Line 1,outside Seoul's boundary,37.244152,127.01371209999999
Sinchang,Line 1,outside Seoul's boundary,36.7698103,126.9518605
Singiloncheon,Line 4 Suin–Bundang Line,outside Seoul's boundary,37.33761945,126.7671307
Sinheung,Line 8,outside Seoul's boundary,37.44099535,127.1476359
Sinjung-dong,Line 7,outside Seoul's boundary,37.50304175,126.77621479999999
Sinpo,Suin–Bundang Line,outside Seoul's boundary,37.468458749999996,126.62449755
Songdo,Suin–Bundang Line,outside Seoul's boundary,37.4299551,126.6546892
Songnae,Line 1,outside Seoul's boundary,37.487677675,126.75267745
Songtan,Line 1,outside Seoul's boundary,37.0759581,127.05432010000001
Soraepogu,Suin–Bundang Line,outside Seoul's boundary,37.4009209,126.73336115000001
Sosa,Line 1,outside Seoul's boundary,37.4827762,126.7956839
Soyosan,Line 1,outside Seoul's boundary,37.9480142,127.06081169999999
Ssangyong,Line 1,outside Seoul's boundary,36.79375185,127.12136459999999
Suji-gu Office,Shinbundang Line,outside Seoul's boundary,37.32251575,127.09472075
Sujin,Line 8,outside Seoul's boundary,37.437440949999996,127.1406795
Sunae,Suin–Bundang Line,outside Seoul's boundary,37.378404849999995,127.1142449
Sungkyunkwan Univ,Line 1,outside Seoul's boundary,37.3003184,126.9709578
Sungui,Suin–Bundang Line,outside Seoul's boundary,37.46091065,126.63794150000001
Surisan,Line 4,outside Seoul's boundary,37.35054165,126.92560309999999
Suwon,Line 1 Suin–Bundang Line,outside Seoul's boundary,37.26616013333334,126.99993558333334
Suwon City Hall,Suin–Bundang Line,outside Seoul's boundary,37.26173835,127.03189675
Taepyeong,Suin–Bundang Line,outside Seoul's boundary,37.4397099,127.1277444
Tangjeong,Line 1,outside Seoul's boundary,36.78820815,127.08450145
Tanhyeon,Gyeongui–Jungang Line,outside Seoul's boundary,37.6939013,126.7610307
Toegyewon,Gyeongchun Line,outside Seoul's boundary,37.6482538,127.14353175
Uijeongbu,Line 1,outside Seoul's boundary,37.737661933333335,127.0461737
Uiwang,Line 1,outside Seoul's boundary,37.320376,126.948071675
Unjeong,Gyeongui–Jungang Line,outside Seoul's boundary,37.72540955,126.76708389999999
Wolgot,Suin–Bundang Line,outside Seoul's boundary,37.391796150000005,126.7426912
Wondang,Line 3,outside Seoul's boundary,37.6531073,126.84291495
Wonheung,Line 3,outside Seoul's boundary,37.6505087,126.8737509
Woninjae,Suin–Bundang Line,outside Seoul's boundary,37.4132297,126.6864327
Yadang,Gyeongui–Jungang Line,outside Seoul's boundary,37.71268615,126.76147025
Yamok,Suin–Bundang Line,outside Seoul's boundary,37.26119525,126.88406685
Yangjeong,Gyeongui–Jungang Line,outside Seoul's boundary,37.60411070000001,127.19455055
Yangju,Line 1,outside Seoul's boundary,37.77416003333334,127.04479986666668
Yatap,Suin–Bundang Line,outside Seoul's boundary,37.4112827,127.12871355
Yeokgok,Line 1,outside Seoul's boundary,37.485282875,126.811999475
Yeoncheon,Line 1,outside Seoul's boundary,38.1004613,127.0738629
Yeonsu,Suin–Bundang Line,outside Seoul's boundary,37.417895099999996,126.67878725
Yongmun,Gyeongui–Jungang Line,outside Seoul's boundary,37.4821848,127.59468795
가평,Gyeongchun Line,outside Seoul's boundary,37.8145231,127.51076055
강촌,Gyeongchun Line,outside Seoul's boundary,37.80571715,127.6341175
구성,Suin–Bundang Line,outside Seoul's boundary,37.299022199999996,127.10575025
국수,Gyeongui–Jungang Line,outside Seoul's boundary,37.51616115,127.39929235
굴봉산,Gyeongchun Line,outside Seoul's boundary,37.83192795,127.55713445
굴포천,Line 7,outside Seoul's boundary,37.50701815,126.73131625
금곡,Gyeongchun Line,outside Seoul's boundary,37.6373102,127.20741685
금릉,Gyeongui–Jungang Line,outside Seoul's boundary,37.751252449999996,126.76541284999999
금촌,Gyeongui–Jungang Line,outside Seoul's boundary,37.7662169,126.77454505
김유정,Gyeongchun Line,outside Seoul's boundary,37.8184422,127.71433465
남춘천,Gyeongchun Line,outside Seoul's boundary,37.864012200000005,127.72393855
달월,Suin–Bundang Line,outside Seoul's boundary,37.3799916,126.7453723
대성리,Gyeongchun Line,outside Seoul's boundary,37.683849499999994,127.37958484999999
덕소,Gyeongui–Jungang Line,outside Seoul's boundary,37.5868741,127.20888045
도심,Gyeongui–Jungang Line,outside Seoul's boundary,37.57962895,127.222701
마석,Gyeongchun Line,outside Seoul's boundary,37.65277435,127.3116727
망포,Suin–Bundang Line,outside Seoul's boundary,37.24561345,127.05700285
매교,Suin–Bundang Line,outside Seoul's boundary,37.26547675,127.01571295
매탄권선,Suin–Bundang Line,outside Seoul's boundary,37.253032000000005,127.04044859999999
문산,Gyeongui–Jungang Line,outside Seoul's boundary,37.8544665,126.78798764999999
백양리,Gyeongchun Line,outside Seoul's boundary,37.8307785,127.58916529999999
삼산체육관,Line 7,outside Seoul's boundary,37.5064953,126.7423046
상갈,Suin–Bundang Line,outside Seoul's boundary,37.261700149999996,127.10889080000001
상천,Gyeongchun Line,outside Seoul's boundary,37.7701487,127.4544177
신갈,Suin–Bundang Line,outside Seoul's boundary,37.286149449999996,127.1113717
신원,Gyeongui–Jungang Line,outside Seoul's boundary,37.5255892,127.37301020000001
양수,Gyeongui–Jungang Line,outside Seoul's boundary,37.546015600000004,127.3290269
양평 (Gyeongui–Jungang Line),Gyeongui–Jungang Line,outside Seoul's boundary,37.492761,127.4919675
영통,Suin–Bundang Line,outside Seoul's boundary,37.2513608,127.0712833
오빈,Gyeongui–Jungang Line,outside Seoul's boundary,37.506215299999994,127.47366550000001
운길산,Gyeongui–Jungang Line,outside Seoul's boundary,37.55479175000001,127.30987569999999
원덕,Gyeongui–Jungang Line,outside Seoul's boundary,37.468812400000004,127.5465661
월롱,Gyeongui–Jungang Line,outside Seoul's boundary,37.79646405,126.7926614
인천논현,Suin–Bundang Line,outside Seoul's boundary,37.400680699999995,126.72254685
천마산,Gyeongchun Line,outside Seoul's boundary,37.65921675,127.28504914999999
청명,Suin–Bundang Line,outside Seoul's boundary,37.25998275,127.07952745
청평,Gyeongchun Line,outside Seoul's boundary,37.73550985,127.4266355
춘천,Gyeongchun Line,outside Seoul's boundary,37.88449465,127.71671230000001
파주,Gyeongui–Jungang Line,outside Seoul's boundary,37.81498375,126.79244510000001
팔당,Gyeongui–Jungang Line,outside Seoul's boundary,37.54754285,127.24379909999999
평내호평,Gyeongchun Line,outside Seoul's boundary,37.6532241,127.2444999
하남풍산,Line 5,outside Seoul's boundary,37.55281085,127.2043138
